UF;Municipio;Cod. IBGE;Obitos;Feridos;Enfermos;Desalojados;Desabrigados;Desaparecidos;Outros;Total;Ocorrencias;Danos Materiais Totais (R$);Prejuízos Privados;Prejuízos Públicos
TO;Combinado;1705557;0;0;0;0;0;0;1524;1524;3;0,00;380.627,46;23.068,33
MG;Comendador Gomes;3116902;0;0;0;0;0;0;0;0;1;139.577,37;254.085,01;0,00
RJ;Comendador Levy Gasparian;3300951;0;74;0;898;27;0;1133;2132;5;1.762.409,23;2.370.363,17;82.833.533,69
MG;Comercinho;3117009;0;0;0;256;20;0;47807;48083;33;7.372.161,12;59.519.027,20;26.553.448,70
MT;Comodoro;5103304;0;0;0;0;32;0;7713;7745;17;5.569.846,19;370.921,54;6.621.633,67
PB;Conceição;2504405;0;0;0;75;86;0;73359;73520;24;1.638.965,63;56.970.382,51;37.498.346,67
ES;Conceição da Barra;3201605;0;290;0;1610;1720;0;50660;54280;26;65.322.661,39;478.965.677,15;19.618.264,64
MG;Conceição da Barra de Minas;3115201;0;0;0;34;0;0;1353;1387;1;2.134.192,95;29.848,85;17.909,31
BA;Conceição da Feira;2908200;0;0;0;540;60;0;8080;8680;2;886.587,26;494.618,81;498.345,38
MG;Conceição das Alagoas;3117306;0;0;0;124;60;0;0;184;2;1.113.042,17;41.150.621,52;133.808,35
MG;Conceição de Ipanema;3117405;1;0;0;24;20;0;2;47;10;1.875.990,86;367.741,75;167.767,13
RJ;Conceição de Macabu;3301405;0;21;0;510;375;0;127;1033;5;21.738.967,44;426.475,91;932.840,22
BA;Conceição do Almeida;2908309;0;0;0;0;0;0;18278;18278;1;0,00;5.190.374,44;0,00
PA;Conceição do Araguaia;1502707;0;27;0;10;4;0;32134;32175;6;48.393.747,86;1.854.914,31;397.289,26
PI;Conceição do Canindé;2202802;0;0;0;320;0;0;14660;14980;27;0,00;24.818.630,07;2.085.866,94
ES;Conceição do Castelo;3201704;0;0;11;693;56;0;9226;9986;10;35.255.202,97;43.538.264,88;18.649.310,23
BA;Conceição do Coité;2908408;0;0;0;0;0;0;446972;446972;23;1.112.011,36;116.114.003,69;1.417.101,87
BA;Conceição do Jacuípe;2908507;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00
MA;Conceição do Lago-Açu;2103554;2;12;109;3308;784;0;27569;31784;4;14.191.175,34;3.092.555,72;910.376,77
MG;Conceição do Mato Dentro;3117504;0;17;0;3960;256;0;8350;12583;12;49.944.669,35;3.430.650,65;15.863.088,95
MG;Conceição do Pará;3117603;0;0;0;90;50;0;320;460;2;3.258.827,42;842.132,63;235.539,00
MG;Conceição do Rio Verde;3117702;0;1;0;835;323;0;6312;7471;8;7.744.256,53;1.290.928,38;3.165.945,46
MG;Conceição dos Ouros;3117801;0;1;0;207;20;0;0;228;2;207.384,18;13.197,18;37.706,23
TO;Conceição do Tocantins;1705607;0;0;0;0;0;0;3188;3188;6;0,00;6.770.844,25;9.014.845,53
SP;Conchal;3512209;0;1;0;0;0;0;2;3;1;0,00;0,00;0,00
SP;Conchas;3512308;0;2;0;0;51;0;0;53;2;0,00;0,00;0,00
SC;Concórdia;4204301;0;5;0;610;27;0;68675;69317;24;16.531.250,63;93.804.949,19;2.323.572,70
PA;Concórdia do Pará;1502756;0;0;0;0;0;0;0;0;2;0,00;0,00;0,00
PB;Condado;2504504;0;0;0;0;0;0;43658;43658;19;0,00;18.329.257,73;20.624.765,67
PE;Condado;2604601;0;0;0;104;0;0;0;104;3;87.330,83;0,00;0,00
BA;Conde;2908606;1;2;43;4763;3378;0;28458;36645;7;5.908.119,92;6.905.277,58;3.579.743,00
BA;Condeúba;2908705;0;0;7;55;0;0;130664;130726;26;1.319.275,22;46.986.104,26;1.723.340,63
RS;Condor;4305702;0;0;0;0;0;0;0;0;14;233.469,96;65.806.962,00;283.713,49
MG;Cônego Marinho;3117836;0;0;0;0;0;0;36892;36892;25;0,00;100.992.098,24;6.697.746,01
MG;Confins;3117876;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00
MT;Confresa;5103353;0;17;449;4739;344;0;41294;46843;9;75.723.667,45;49.281.822,15;18.122.536,11
PB;Congo;2504702;0;0;0;145;105;0;24875;25125;28;2.893.243,65;31.042.929,06;9.358.448,86
MG;Congonhal;3117900;0;0;0;13;0;0;0;13;2;0,00;0,00;0,00
MG;Congonhas;3118007;1;59;0;5735;917;0;86569;93281;18;200.958.384,30;4.497.577,99;3.591.030,66
MG;Congonhas do Norte;3118106;0;0;0;229;0;0;2821;3050;5;1.338.285,83;21.874,08;11.958.919,32
PR;Congonhinhas;4106001;0;0;0;0;0;0;1600;1600;2;1.003.469,47;0,00;0,00
MG;Conquista;3118205;0;0;0;0;0;0;600;600;4;4.524.114,68;49.613.098,98;1.667.429,81
MT;Conquista D`Oeste;5103361;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00
MG;Conselheiro Lafaiete;3118304;0;2;0;934;275;0;116518;117729;23;17.043.779,25;1.108.974,42;1.542.241,68
PR;Conselheiro Mairinck;4106100;0;0;0;68;0;0;388;456;2;878.211,36;23.068,33;449.140,40
MG;Conselheiro Pena;3118403;0;15;11;2557;212;0;1400;4195;8;7.770.885,59;50.137.676,87;1.791.280,20
MG;Consolação;3118502;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00
RS;Constantina;4305801;0;0;0;900;20;0;15700;16620;21;3.552.752,99;148.247.837,70;9.563.726,54
MG;Contagem;3118601;0;99;1;12406;215;0;220331;233052;18;49.962.391,61;9.691.207,20;10.389.165,54
PR;Contenda;4106209;0;5;0;145;89;0;2655;2894;3;1.038.827,27;1.881.426,47;1.060.155,01
BA;Contendas do Sincorá;2908804;0;0;0;0;145;0;30062;30207;18;464.782,00;23.040.972,20;0,00
MG;Coqueiral;3118700;0;0;0;70;0;0;800;870;2;169.866,50;13.380.187,79;31.107,62
RS;Coqueiro Baixo;4305835;0;0;0;45;0;0;1229;1274;5;2.210.127,62;5.472.038,24;24.490,06
RS;Coqueiros do Sul;4305850;0;0;0;0;0;0;0;0;10;42.222,79;20.537.048,47;0,00
AL;Coqueiro Seco;2702207;1;0;0;88;700;0;10;799;3;573.134,46;123.415,57;389.332,46
MG;Coração de Jesus;3118809;0;1;0;230;102;0;161044;161377;37;43.844.145,22;540.395.127,47;43.664.704,45
BA;Coração de Maria;2908903;0;177;0;286;33;0;37431;37927;5;3.628.446,76;38.191.229,93;2.747.361,07
PR;Corbélia;4106308;0;23;0;915;215;0;14500;15653;4;12.593.735,53;74.056.960,82;6.005.216,40
RJ;Cordeiro;3301504;0;2;0;438;60;0;1504;2004;5;23.014.907,30;0,00;0,00
BA;Cordeiros;2909000;0;0;0;0;0;0;52456;52456;24;0,00;19.194.524,87;768.731,28
SC;Cordilheira Alta;4204350;0;10;0;27;5;0;5308;5350;18;15.096.441,27;23.006.150,19;545.430,10
MG;Cordisburgo;3118908;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00
MG;Cordislândia;3119005;0;0;0;1;0;0;0;1;2;463.260,74;93.260,37;243.287,91
CE;Coreaú;2304004;0;15;0;870;593;0;75012;76490;10;2.732.757,94;25.025.274,86;15.752.000,34
PB;Coremas;2504801;0;0;0;1660;285;0;48842;50787;25;9.187.479,49;35.527.776,69;25.571.439,02
MS;Corguinho;5003108;0;0;0;0;0;0;3000;3000;4;366.297,17;20.000,00;792.087,61
BA;Coribe;2909109;0;0;0;180;28;0;113169;113377;19;0,00;79.042.927,03;5.084.015,70
MG;Corinto;3119104;0;0;0;0;0;0;2720;2720;2;0,00;13.525.555,72;0,00
PR;Cornélio Procópio;4106407;0;0;0;11;0;0;1000;1011;4;9.180.393,54;0,00;8.635.605,06
MG;Coroaci;3119203;2;4;0;186;72;1;6550;6815;5;2.665.694,36;231.094,94;1.698.229,36
SP;Coroados;3512506;0;0;0;0;0;0;0;0;2;336.548,27;9.063.354,94;85.150,77
MA;Coroatá;2103604;1;0;15307;1115;257;0;6149;22829;6;6.089.293,12;25.459.043,86;5.099.149,07
MG;Coromandel;3119302;0;3;0;59;0;0;8500;8562;2;10.925.349,78;9.934.256,18;605.584,15
RS;Coronel Barros;4305871;0;0;0;200;0;0;4120;4320;9;0,00;13.066.741,69;0,00
RS;Coronel Bicaco;4305900;0;0;0;145;280;0;4504;4929;23;10.145.990,73;96.885.643,04;1.745.539,76
PR;Coronel Domingos Soares;4106456;0;2;0;265;0;0;8333;8600;7;12.470.619,86;58.960.583,19;11.759.266,02
RN;Coronel Ezequiel;2402808;0;0;0;0;90;0;27085;27175;24;772.188,42;31.614.254,46;3.702.857,20
MG;Coronel Fabriciano;3119401;2;25;0;566;447;0;26778;27818;13;53.881.337,95;783.424,18;7.336.138,44
SC;Coronel Freitas;4204400;1;31;0;1613;5;0;20107;21757;27;9.150.227,35;34.346.139,70;35.394.232,09
RN;Coronel João Pessoa;2402907;0;0;0;0;0;0;27640;27640;15;0,00;5.493.934,38;929.049,19
BA;Coronel João Sá;2909208;0;0;732;2019;390;0;100650;103791;21;6.689.000,00;290.182.167,85;5.835.356,70
PI;Coronel José Dias;2202851;0;0;0;290;0;0;25124;25414;25;77.278,91;99.452.634,93;8.119.558,33
SC;Coronel Martins;4204459;0;0;0;0;3;0;1963;1966;15;9.442.078,82;21.180.090,35;8.904.724,27
MG;Coronel Murta;3119500;0;1;0;6;5;0;24151;24163;32;0,00;35.986.191,22;5.156.090,68
MG;Coronel Pacheco;3119609;0;0;0;10;10;0;18;38;2;800.669,39;7.354,18;10.341,81
RS;Coronel Pilar;4305934;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00
MS;Coronel Sapucaia;5003157;1;0;0;65;0;0;18110;18176;81;3.429.344,61;1.123.892,91;29.326.172,82
PR;Coronel Vivida;4106506;0;5;0;913;1431;0;2047;4396;15;23.170.775,59;71.333.808,51;8.009.392,40
MG;Coronel Xavier Chaves;3119708;0;0;0;68;0;0;810;878;2;6.698.158,64;438.047,32;1.911.993,46
MG;Córrego Danta;3119807;0;0;0;14;0;0;1303;1317;2;8.208.373,21;6.589.966,57;1.613,28
MG;Córrego Novo;3120003;0;9;38;468;50;0;120;685;3;3.728.759,87;166.387,45;755.000,00
SC;Correia Pinto;4204558;0;0;0;2434;1240;0;27055;30729;16;18.256.718,94;2.749.928,34;8.869.083,68
PI;Corrente;2202901;0;5;1521;270;123;0;50896;52815;14;11.315.651,79;130.954.323,60;12.503.201,89
PE;Correntes;2604700;0;0;0;2330;233;0;45278;47841;17;53.807.369,06;81.235.538,89;2.560.753,41
BA;Correntina;2909307;0;1;0;108;0;0;20648;20757;6;2.197.246,12;15.111.475,42;1.352.792,67
PE;Cortês;2604809;1;17;13;6078;1153;0;24653;31915;12;59.451.452,25;24.039.713,53;5.284.995,05
MS;Corumbá;5003207;0;0;198;45;0;0;67661;67904;14;269.239,84;2.306.834.242,03;255.547,97
SP;Corumbataí;3512704;0;0;0;1;0;0;2;3;1;0,00;0,00;0,00
PR;Corumbataí do Sul;4106555;0;0;0;0;0;0;0;0;3;285.320,27;25.417.278,19;0,00
SC;Corupá;4204509;0;0;0;1197;168;0;39311;40676;37;45.717.064,97;103.316.368,92;6.032.215,14
AL;Coruripe;2702306;3;7;161;2556;2124;4;81165;86020;7;16.167.297,14;1.014.194,85;3.170.667,67
SP;Cosmópolis;3512803;0;0;0;0;0;2;0;2;1;0,00;0,00;0,00
SP;Cosmorama;3512902;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00
RO;Costa Marques;1100080;0;21;810;195;6;0;11959;12991;4;10.004.725,97;2.301.075,74;4.499.808,42
MS;Costa Rica;5003256;0;48;0;6;0;0;5694;5748;6;7.895.120,70;8.059.603,41;2.862.289,05
BA;Cotegipe;2909406;0;0;3149;77;475;0;25664;29365;11;2.760.182,12;4.316.620,66;1.717.918,71
SP;Cotia;3513009;0;1;0;280;68;0;14000;14349;3;20.926.440,73;460.740,81;6.921.275,44
RS;Cotiporã;4305959;0;2;1;0;0;0;0;3;5;1.541.699,89;7.651.614,30;1.616.159,80
MT;Cotriguaçu;5103379;4;0;0;0;0;0;39865;39869;15;51.221.384,90;5.741.533,69;4.900.463,46
MG;Couto de Magalhães de Minas;3120102;0;0;0;0;0;0;0;0;6;0,00;0,00;0,00
RS;Coxilha;4305975;0;0;0;162;0;0;1092;1254;12;613.285,66;74.922.828,80;373.849,17
MS;Coxim;5003306;3;2;250;1640;97;1;81844;83837;45;8.030.410,04;119.322.972,85;331.163,95
PB;Coxixola;2504850;0;0;0;0;0;0;7912;7912;24;402.181,47;16.165.906,64;6.295.831,99
AL;Craíbas;2702355;0;0;0;0;0;0;148266;148266;24;0,00;83.167.906,49;2.914.293,33
CE;Crateús;2304103;2;0;227;4386;2014;2;766906;773537;30;37.900.228,48;629.482.884,99;9.751.392,46
CE;Crato;2304202;2;5;10090;2069;565;0;155572;168303;33;37.821.365,77;90.981.067,46;805.130.353,17
BA;Cravolândia;2909505;0;0;0;0;0;0;4885;4885;7;0,00;0,00;0,00
SC;Criciúma;4204608;1;74;7;12946;1091;0;904281;918400;28;129.401.355,56;22.001.400,52;39.481.681,73
MG;Crisólita;3120151;1;0;115;236;112;0;12648;13112;20;9.295.099,64;343.658.217,29;1.876.267,37
BA;Crisópolis;2909604;0;0;0;0;0;0;96043;96043;14;0,00;77.582.006,94;2.326.133,24
RS;Crissiumal;4306007;0;19;13;2167;237;0;28705;31141;26;28.147.709,25;158.724.513,63;16.469.802,35
MG;Cristais;3120201;0;0;0;0;0;0;0;0;1;971.124,23;1.520.549,41;863.672,07
SP;Cristais Paulista;3513207;0;0;450;0;0;0;7141;7591;2;0,00;5.245.398,32;824.510,62
RS;Cristal;4306056;0;0;0;550;60;0;11289;11899;22;13.067.110,27;98.704.337,65;3.315.789,32
TO;Cristalândia;1706100;0;0;0;800;0;0;0;800;1;700.023,59;12.795.943,08;1.216.964,08
PI;Cristalândia do Piauí;2203008;0;0;0;0;0;0;31866;31866;13;0,00;11.208.897,10;1.405.998,24
RS;Cristal do Sul;4306072;0;0;0;36;1;0;4014;4051;13;7.246.954,50;65.426.336,60;4.643.419,41
MG;Cristália;3120300;1;0;150;150;30;0;38334;38665;27;3.543.619,80;38.119.983,88;9.010.370,64
GO;Cristalina;5206206;0;0;50;114;1;0;3040;3205;3;5.311.483,18;409.462,87;5.282.647,76
MG;Cristina;3120508;1;0;0;57;16;0;8843;8917;4;1.079.517,74;0,00;893.715,03
SE;Cristinápolis;2801702;0;0;0;0;0;0;4684;4684;4;0,00;0,00;0,00
PI;Cristino Castro;2203107;0;0;0;60;15;0;6099;6174;9;0,00;2.723.955,30;177.588,34
BA;Cristópolis;2909703;0;0;0;0;0;0;0;0;9;0,00;2.511.205,91;293.784,86
GO;Crixás;5206404;0;0;0;17;0;0;800;817;1;2.432.753,08;134.367,18;216.401,85
CE;Croatá;2304236;0;0;0;5;0;0;72438;72443;16;573.339,96;46.022.122,32;433.434,71
GO;Cromínia;5206503;0;0;0;0;0;0;0;0;1;1.662.430,28;0,00;23.624,01
MG;Crucilândia;3120607;0;0;0;4;154;0;6204;6362;6;5.048.731,68;270.083,18;1.926.598,39
CE;Cruz;2304251;0;0;0;700;70;0;65870;66640;12;2.809.301,56;21.682.917,72;637.562,07
SP;Cruzália;3513306;0;0;0;0;0;0;2234;2234;3;0,00;32.727.430,19;0,00
RS;Cruz Alta;4306106;0;117;215;783;147;0;28733;29995;14;383.591,02;46.399.092,32;6.323.510,51
RS;Cruzaltense;4306130;0;0;0;28;23;1;4303;4355;14;1.057.656,35;98.688.197,29;361.616,31
PB;Cruz do Espírito Santo;2504900;0;0;0;100;186;0;0;286;3;1.309.962,49;4.864.776,16;2.098.132,31
SP;Cruzeiro;3513405;4;5;0;217;100;0;458;784;8;0,00;0,00;783.280,93
MG;Cruzeiro da Fortaleza;3120706;0;0;0;0;0;0;0;0;1;1.165.754,55;12.164,40;861.644,67
PR;Cruzeiro do Iguaçu;4106571;0;4;0;103;30;0;750;887;9;871.761,29;10.071.893,85;95.332,77
PR;Cruzeiro do Oeste;4106605;0;0;0;264;0;0;10150;10414;7;1.007.796,60;50.432.944,33;946.255,12
RS;Cruzeiro do Sul;4306205;0;0;0;5555;719;0;8407;14681;19;1.556.097,26;60.381.529,43;882.106,30
AC;Cruzeiro do Sul;1200203;6;18;0;4574;2700;0;81200;88498;7;15.855.000,00;345.319,31;2.497.952,78
PR;Cruzeiro do Sul;4106704;0;0;0;0;0;0;770;770;1;2.951.874,02;402.006,19;2.429.265,98
RN;Cruzeta;2403004;0;0;0;0;0;0;45022;45022;18;0,00;8.456.602,89;2.508.015,47
MG;Cruzília;3120805;0;0;0;0;0;0;0;0;2;5.355.173,02;64.427,01;0,00
PR;Cruz Machado;4106803;0;0;0;1670;113;0;4900;6683;4;3.679.562,10;85.625.127,13;3.331.038,91
SP;Cubatão;3513504;19;206;1271;4358;808;0;60600;67262;20;35.431.826,68;22.630.261,22;80.620.305,56
PB;Cubati;2505006;0;0;0;282;220;0;57730;58232;28;1.213.374,42;54.282.892,05;58.016.795,68
MT;Cuiabá;5103403;0;0;0;3796;528;0;2549488;2553812;38;41.740.734,52;1.847.727,62;33.482.037,43
PB;Cuité;2505105;0;0;0;0;0;0;159890;159890;32;0,00;96.538.315,87;61.398.892,91
PB;Cuité de Mamanguape;2505238;0;0;0;325;0;0;20669;20994;18;691.752,12;14.768.659,34;3.995.088,07
PB;Cuitegi;2505204;0;0;0;0;100;0;7045;7145;7;1.024.464,19;7.837.805,44;1.420.048,90
PE;Cumaru;2604908;1;0;0;114;0;0;105797;105912;22;1.472.925,46;82.542.474,19;23.992.653,51
PA;Cumaru do Norte;1502764;0;0;0;0;0;0;6000;6000;3;10.417.319,03;776.529,11;125.895,86
SE;Cumbe;2801900;0;0;0;0;0;0;2610;2610;7;0,00;3.277.144,71;0,00
SP;Cunha;3513603;6;14;1;594;49;0;12005;12669;6;9.571.024,93;2.067.358,06;3.533.852,22
SC;Cunha Porã;4204707;0;3;0;694;58;0;19467;20222;22;12.067.594,89;92.308.111,48;3.890.727,73
SC;Cunhataí;4204756;0;4;0;10;0;0;1868;1882;14;3.457.618,36;33.613.007,73;1.902.344,40
MG;Cuparaque;3120839;0;0;0;0;0;0;6920;6920;6;19.648.204,98;6.092.772,87;7.045.991,21
PE;Cupira;2605004;0;0;0;220;15;0;22228;22463;19;32.552.618,41;14.760.654,30;36.119.446,59
BA;Curaçá;2909901;0;0;250;0;0;0;230947;231197;24;0,00;191.012.447,92;15.422.352,18
PI;Curimatá;2203206;0;3;72;84;32;0;63452;63643;26;1.476.203,10;24.239.481,37;5.220.131,31
PA;Curionópolis;1502772;0;0;0;0;0;0;9000;9000;2;0,00;0,00;0,00
PR;Curitiba;4106902;1;27;0;1936;2876;0;428067;432907;12;271.744,35;20.442,41;4.807.373,92
SC;Curitibanos;4204806;0;0;0;20;132;0;2508;2660;17;2.730.204,99;66.015.624,85;623.664,67
PR;Curiúva;4107009;0;0;0;0;0;0;0;0;1;0,00;21.828.813,38;98.080,40
PI;Currais;2203230;0;0;0;0;0;0;1850;1850;14;0,00;21.718.268,64;1.684.362,70
RN;Currais Novos;2403103;0;0;80;285;40;0;323618;324023;26;864.280,45;133.040.379,86;12.061.474,97
MG;Curral de Dentro;3120870;48;101;7098;362;62;5;17200;24876;30;349.289,39;32.060.551,03;6.359.057,18
PA;Curralinho;1502806;0;2;34;648;0;0;6903;7587;4;11.015.326,95;0,00;3.387.192,83
PI;Curralinhos;2203255;0;0;0;0;0;0;0;0;11;0,00;56.451.162,51;33.689.860,94
PI;Curral Novo do Piauí;2203271;0;0;0;152;0;0;28254;28406;27;41.523,00;165.741.130,79;20.813.547,07
PB;Curral Velho;2505303;0;0;0;0;0;0;11580;11580;23;0,00;27.863.674,10;6.912.146,93
PA;Curuá;1502855;1;1;1600;2246;148;0;16468;20464;14;6.453.348,84;5.810.979,13;2.220.406,57
PA;Curuçá;1502905;0;0;0;0;0;0;15617;15617;4;6.967.413,68;3.350.829,09;4.990.137,64
MA;Cururupu;2103703;0;0;0;0;0;0;6;6;3;0,00;9.383.798,54;311.048,51
MG;Curvelo;3120904;0;0;0;0;0;0;7242;7242;3;0,00;134.405.866,58;366.571,92
PE;Custódia;2605103;0;0;0;802;25;0;135642;136469;20;683.876,26;226.832.625,26;44.216.773,67
PB;Damião;2505352;0;0;0;16;0;0;39829;39845;29;1.784.536,61;48.968.079,43;29.212.631,27
BA;Dário Meira;2910008;0;1;0;688;197;0;12316;13202;7;3.633.310,94;377.544,32;332.721,78
MG;Datas;3121001;0;0;0;0;0;0;500;500;7;0,00;538.822,47;73.865,25
RS;David Canabarro;4306304;0;0;0;0;15;0;7857;7872;10;8.818.762,56;46.256.764,08;9.323.083,18
MA;Davinópolis;2103752;1;0;131;1275;262;0;1318;2987;3;1.535.469,46;530.500,00;0,00
MG;Delfim Moreira;3121100;0;1;0;36;6;0;11;54;4;681.206,14;1.621,92;431.836,03
MG;Delfinópolis;3121209;2;0;1;0;0;0;1;4;3;2.492.518,98;8.527.978,68;56.303,51
AL;Delmiro Gouveia;2702405;0;0;4;51;0;0;81175;81230;20;5.557.519,03;25.021.059,79;1.943.204,35
PI;Demerval Lobão;2203305;0;0;0;0;0;0;2200;2200;9;0,00;12.952.120,11;5.749.641,89
MT;Denise;5103452;0;0;0;0;0;0;0;0;2;4.959.764,77;9.077.744,30;2.158.971,96
MS;Deodápolis;5003454;0;0;0;8;0;0;27635;27643;20;9.353.482,13;33.977.562,55;15.085.969,50
CE;Deputado Irapuan Pinheiro;2304269;0;0;0;0;0;0;66874;66874;24;0,00;107.391.197,27;13.915.237,86
RS;Derrubadas;4306320;0;0;0;16;0;0;5695;5711;15;4.204.513,55;57.247.356,64;3.868.981,46
SC;Descanso;4204905;0;0;0;90;250;0;18873;19213;16;4.146.331,29;111.157.710,84;1.587.653,09
MG;Descoberto;3121308;3;18;0;30;0;0;966;1017;1;936.985,61;208.874,92;21.568,61
PB;Desterro;2505402;0;0;0;0;0;0;29705;29705;24;0,00;41.292.767,71;16.950.870,49
MG;Desterro de Entre Rios;3121407;0;0;0;0;0;0;1;1;1;232.821,06;91.240,48;37.311,07
RS;Dezesseis de Novembro;4306353;0;4;0;26;87;0;777;894;11;494.667,49;34.062.063,85;1.861.324,10
SP;Diadema;3513801;0;4;0;852;41;6;580;1483;6;208.800,00;1.300.000,00;1.600.000,00
PB;Diamante;2505600;0;0;0;0;0;0;33838;33838;19;0,00;22.329.362,09;12.335.864,79
PR;Diamante D`Oeste;4107157;0;0;0;43;0;0;7509;7552;8;15.529.936,03;34.761.228,58;14.483.117,50
PR;Diamante do Norte;4107108;0;0;0;272;0;0;2992;3264;5;1.152.381,34;4.276.579,26;1.244.664,38
PR;Diamante do Sul;4107124;0;0;0;120;0;0;1300;1420;1;1.447.322,78;143.096,88;1.338.296,58
MG;Diamantina;3121605;0;0;0;203;39;0;19661;19903;20;24.827.232,95;15.816.752,53;2.490.407,49
MT;Diamantino;5103502;0;0;0;0;0;0;0;0;3;0,00;37.223.126,46;0,00
TO;Dianópolis;1707009;0;0;0;0;0;0;3;3;3;0,00;0,00;0,00
BA;Dias D`Ávila;2910057;0;15;10;315;75;0;18000;18415;1;10.256.564,57;164.308,30;219.360,05
RS;Dilermando de Aguiar;4306379;0;3;0;240;0;0;2821;3064;8;3.318.108,79;21.388.220,52;2.746.040,75
MG;Diogo de Vasconcelos;3121704;0;0;0;0;17;0;20;37;3;2.894.985,74;590.298,60;284.995,06
MG;Dionísio;3121803;0;8;0;107;97;0;1015;1227;5;4.755.898,78;115.706,39;1.224.356,10
SC;Dionísio Cerqueira;4205001;0;1;0;1045;1322;0;22510;24878;35;20.292.819,05;169.448.767,13;45.463.465,13
SP;Dirce Reis;3513850;0;0;0;0;0;0;0;0;1;0,00;24.486.042,84;0,00
PI;Dirceu Arcoverde;2203354;0;0;0;0;0;0;35106;35106;25;19.608,08;33.892.228,59;88.648.499,80
SE;Divina Pastora;2802007;0;0;0;0;0;0;0;0;2;0,00;0,00;0,00
MG;Divinésia;3121902;0;0;0;75;7;0;113;195;5;2.502.230,44;95.921,17;2.186.013,99
MG;Divino;3122009;0;0;0;251;14;0;2836;3101;6;5.746.529,07;167.252,35;40.000,05
MG;Divino das Laranjeiras;3122108;0;0;0;0;0;0;220;220;3;251.761,65;0,00;66.476,38
ES;Divino de São Lourenço;3201803;0;0;0;121;0;0;113;234;3;1.764.084,87;560.783,74;81.733,66
SP;Divinolândia;3513900;1;1;0;384;0;20;1620;2026;6;7.562.383,06;1.074.889,09;3.852.227,90
MG;Divinolândia de Minas;3122207;0;0;0;1287;154;0;11999;13440;13;8.972.197,34;813.541,53;1.901.617,17
MG;Divinópolis;3122306;0;0;0;599;82;0;16041;16722;7;31.218.145,98;1.938.314,79;13.819.604,20
TO;Divinópolis do Tocantins;1707108;0;0;0;0;0;0;6300;6300;1;753.871,55;12.923.512,36;2.153.918,73
MG;Divisa Alegre;3122355;0;0;0;0;0;0;15179;15179;22;0,00;24.022.533,45;57.627.581,20
MG;Divisópolis;3122454;0;0;0;0;25;0;20842;20867;20;0,00;66.718.383,14;3.903.599,91
SP;Dois Córregos;3514106;0;9;0;0;0;0;1107;1116;2;493.050,57;3.816.371,48;369.326,27
RS;Dois Irmãos;4306403;0;0;0;321;86;0;749;1156;3;273.615,14;57.124,92;124.958,40
RS;Dois Irmãos das Missões;4306429;0;0;0;13;0;0;1828;1841;11;1.980.842,98;97.876.470,97;956.523,00
MS;Dois Irmãos do Buriti;5003488;0;1;283;300;90;0;7454;8128;11;646.297,92;1.941.808,40;299.116,00
RS;Dois Lajeados;4306452;0;0;0;40;0;0;2593;2633;8;7.256.408,76;3.506.796,59;606.252,31
AL;Dois Riachos;2702504;0;0;0;0;0;0;83280;83280;26;0,00;22.120.812,52;12.916.875,80
PR;Dois Vizinhos;4107207;1;9;5;546;869;0;1359;2789;19;9.760.244,87;153.045.474,57;4.925.161,36
MT;Dom Aquino;5103601;0;0;0;37;15;0;2226;2278;3;1.423.449,43;25.682.833,15;368.113,41
BA;Dom Basílio;2910107;0;0;0;0;0;0;84244;84244;22;0,00;411.643.575,99;2.900.784,44
MG;Dom Bosco;3122470;0;0;0;0;0;0;15322;15322;7;344.726,98;9.054.468,88;3.397.961,95
MG;Dom Cavati;3122504;1;8;0;1653;170;0;5885;7717;6;5.013.041,72;722.521,06;658.025,75
PA;Dom Eliseu;1502939;0;0;0;61;5;0;7161;7227;4;1.935.820,50;1.228.091,42;1.024.289,34
PI;Dom Expedito Lopes;2203404;0;0;0;0;0;0;13174;13174;19;0,00;12.871.770,90;10.405.622,56
RS;Dom Feliciano;4306502;0;1;192;0;0;0;4317;4510;11;1.704.448,22;222.873.726,70;844.005,48
ES;Domingos Martins;3201902;0;3;0;757;102;0;162408;163270;18;25.547.491,15;24.086.409,84;6.430.190,34
PI;Domingos Mourão;2203420;1;0;10;775;165;0;10292;11243;13;1.008.641,25;8.296.441,72;26.298.947,58
PI;Dom Inocêncio;2203453;0;0;226;263;203;0;63421;64113;28;1.585.609,01;32.996.273,59;55.207.356,88
MG;Dom Joaquim;3122603;0;0;0;212;0;0;21;233;6;1.326.708,45;15.205,50;13.849.900,80
RS;Dom Pedrito;4306601;0;0;174;4845;3149;0;44040;52208;29;35.357.740,12;1.114.344.197,28;20.300.125,08
MA;Dom Pedro;2103802;0;0;0;2607;350;0;11854;14811;4;15.917.143,29;11.062.263,49;1.534.058,75
RS;Dom Pedro de Alcântara;4306551;0;0;1;883;49;0;7694;8627;8;4.363.214,45;9.765.822,26;1.618.695,35
MG;Dom Silvério;3122702;0;0;0;60;0;0;2500;2560;3;3.125.385,83;0,00;0,00
