UF;Municipio;Cod. IBGE;Obitos;Feridos;Enfermos;Desalojados;Desabrigados;Desaparecidos;Outros;Total;Ocorrencias;Danos Materiais Totais (R$);Prejuízos Privados;Prejuízos Públicos
AM;Tapauá;1304104;6;131;540;7671;1322;0;7555;17225;7;6.098.626,53;6.958.237,70;6.657.081,08
RS;Tapejara;4320909;0;3;0;3502;0;0;6140;9645;23;20.514.086,70;93.421.257,89;7.926.024,57
PR;Tapejara;4126801;1;4;0;415;35;0;4212;4667;9;2.534.875,60;204.718.384,40;1.348.256,64
RS;Tapera;4321006;0;0;0;0;0;0;0;0;14;701.335,60;52.884.136,06;796.656,65
PB;Taperoá;2516508;0;0;0;57;0;0;52320;52377;26;3.291.752,58;75.678.580,05;36.379.910,64
BA;Taperoá;2931202;0;0;400;0;100;0;15972;16472;3;1.768.554,90;342.878,27;1.226.326,57
RS;Tapes;4321105;0;0;0;88;1;0;728;817;7;756.196,01;84.771.471,15;43.926,49
PR;Tapira;4126900;0;0;0;12;0;0;1450;1462;4;900.541,33;2.970.221,79;1.941.533,35
MG;Tapira;3168101;0;0;0;20;4;0;0;24;1;1.846.631,36;0,00;0,00
MG;Tapiraí;3168200;0;0;0;0;0;0;0;0;2;0,00;0,00;0,00
SP;Tapiraí;3553500;0;1;0;98;56;0;1;156;4;2.792.566,78;712.899,17;1.362.227,69
BA;Tapiramutá;2931301;0;0;0;0;0;0;82580;82580;9;0,00;84.878.358,57;5.849.528,11
SP;Tapiratiba;3553609;0;12;9;96;19;0;378;514;7;17.446.629,51;182.465,93;1.692.878,34
MT;Tapurah;5108006;0;0;0;24;0;0;11300;11324;6;24.141.327,34;81.002.759,36;27.447.878,63
RS;Taquara;4321204;1;22;6;4020;1518;0;298486;304053;16;39.017.934,70;35.393.300,66;2.895.373,07
MG;Taquaraçu de Minas;3168309;0;0;0;71;0;0;1147;1218;5;5.960.823,24;302.643,88;14.495,20
AL;Taquarana;2709103;0;0;0;24;0;0;45039;45063;7;0,00;11.302.124,35;578.127,14
RS;Taquari;4321303;1;2;26;1145;1080;0;40970;43224;15;25.164.748,47;64.800.230,15;385.505,90
SP;Taquaritinga;3553708;1;7;139;7;49;0;60017;60220;10;30.387.845,00;889.661,60;21.743.251,00
PE;Taquaritinga do Norte;2615003;0;0;7;0;40;0;138911;138958;32;0,00;97.980.666,19;71.699.298,60
SP;Taquarituba;3553807;2;64;250;343;29;0;13163;13851;3;15.630.884,77;68.345.765,92;657.647,79
RS;Taquaruçu do Sul;4321329;1;2;0;0;0;0;3281;3284;18;122.235,48;39.537.725,99;8.163.844,43
MS;Taquarussu;5007976;0;0;0;2;0;0;2300;2302;7;5.384,80;0,00;0,00
SP;Tarabai;3553906;0;0;0;0;0;0;0;0;2;86.461.046,55;512.969,54;0,00
AC;Tarauacá;1200609;0;0;208;1205;617;0;12002;14032;7;51.143.901,71;8.096.215,67;15.791.978,43
CE;Tarrafas;2313252;0;0;0;102;0;0;83618;83720;22;2.142.250,58;26.255.533,53;3.642.241,66
AP;Tartarugalzinho;1600709;0;0;0;348;0;0;1566;1914;2;604.390,27;0,00;115.341,65
SP;Tarumã;3553955;0;0;1;0;0;0;0;1;3;0,00;14.175,32;0,00
MG;Tarumirim;3168408;0;0;0;172;18;0;6876;7066;6;3.664.503,93;334.214,92;897.102,59
